Model,RMSE,ME,MAE,MAPE
ARIMA,7562.682413895012,-5799.912211121357,6456.791761779993,124.04748333590508
ETS,18933.7107860477,-15894.268208403808,16470.294794157926,302.4160655014542
TBATS,23401.903646197963,-20917.234786970886,20985.254019613883,368.95598896668463
