Date,Actual,ARIMA,ETS,TBATS
2022-07-19,11579,15265.312567445899,30824.464550928074,34379.226214385955
2022-07-22,10489,15265.561272610948,30893.171618358232,34382.16737847492
2022-07-26,9826,15266.573937647361,30960.182477964823,34384.706005056905
2022-07-29,8433,15268.201528120528,31025.539004930266,34387.11055118378
2022-08-02,7836,15270.209764801293,31089.282040642094,34389.46915354784
2022-08-05,6697,15272.785075786513,31151.451418214878,34391.63191434111
2022-08-09,6043,15275.649312154126,31212.085987381935,34393.48039880286
2022-08-16,5138,15278.782200133393,31271.223638772608,34395.10248145936
2022-08-19,4542,15282.004502484737,31328.901327590174,34396.65637254951
2022-08-23,4063,15285.260097908971,31385.15509670521,34398.16426360057
2022-08-26,3510,15288.499014669971,31440.020099178815,34399.5250924765
2022-08-30,3421,15291.72405066405,31493.530620229823,34400.68845616638
2022-09-02,3023,15294.726041980155,31545.72009865968,34401.72680527454
2022-09-06,2889,15297.55124341261,31596.62114774841,34402.72844737571
2022-09-09,2686,15300.121852091941,31646.265575634672,34403.68826699491
2022-09-13,2602,15302.45603022604,31694.684405192762,34404.542943121756
2022-09-16,2455,15304.519621261015,31741.907893418786,34405.27654930923
2022-09-20,2515,15306.287677778786,31787.965550338355,34405.94207656637
2022-09-23,2206,15307.719603900494,31832.88615744742,34406.58589474597
